1619049237.3453636,-11238,4421,9281,6038,1952,102,423,94,-17,-41
1619049237.352658,-11238,4401,9293,6034,1947,113,423,109,-9,-57
1619049237.3725312,-11238,4381,9303,6034,1946,142,419,93,0,-60
1619049237.3783638,-11235,4367,9309,6038,1953,145,417,41,9,-56
1619049237.38411,-11233,4362,9309,6046,1953,132,416,-9,19,-36
1619049237.3941338,-11233,4364,9303,6054,1951,103,429,-48,27,-24
1619049237.4125843,-11233,4369,9296,6062,1945,91,415,-54,34,-12
1619049237.4411845,-11232,4375,9291,6068,1941,94,396,-58,31,-6
1619049237.4511578,-11230,4384,9283,6075,1930,100,415,-75,22,5
1619049237.471472,-11229,4399,9275,6079,1931,81,410,-89,12,32
1619049237.5033898,-11232,4413,9267,6077,1943,49,413,-51,10,41
1619049237.512413,-11237,4417,9265,6067,1943,47,424,24,4,37
1619049237.5491195,-11242,4412,9269,6055,1948,83,411,70,0,26
1619049237.5579379,-11245,4406,9274,6047,1941,117,417,65,-3,21
1619049237.5685163,-11248,4404,9276,6039,1945,109,416,36,-3,34
1619049237.591371,-11253,4404,9275,6030,1942,92,435,32,2,43
1619049237.6123114,-11258,4402,9276,6021,1951,98,420,50,7,37
1619049237.6349854,-11264,4393,9278,6014,1948,119,441,65,10,23
1619049237.6515722,-11268,4386,9279,6010,1932,134,432,45,16,21
1619049237.686431,-11270,4383,9278,6009,1949,138,424,9,17,20
1619049237.6954925,-11271,4385,9276,6010,1954,121,406,-19,22,21
1619049237.7183838,-11270,4389,9272,6016,1928,111,412,-48,21,4
1619049237.732448,-11266,4392,9269,6025,1925,135,422,-60,6,-7
1619049237.7488384,-11259,4402,9266,6036,1928,124,420,-91,-9,-4
1619049237.7711577,-11253,4417,9261,6042,1941,70,425,-96,-20,7
1619049237.8012536,-11252,4428,9258,6041,1962,42,436,-38,-19,12
1619049237.8182254,-11252,4426,9263,6036,1957,66,420,35,-14,-6
1619049237.831774,-11252,4418,9268,6034,1941,117,427,41,-8,-18
1619049237.8673832,-11249,4416,9268,6039,1941,131,422,-18,3,-10
1619049237.8769996,-11248,4424,9263,6046,1942,92,431,-64,10,2
1619049237.897269,-11249,4433,9255,6048,1946,58,431,-54,19,19
1619049237.914551,-11253,4434,9251,6045,1940,52,423,9,22,11
1619049237.9428658,-11258,4429,9251,6041,1943,81,420,40,24,4
1619049237.9601572,-11261,4425,9251,6038,1946,88,411,29,27,4
1619049238.0073576,-11265,4424,9248,6036,1943,85,419,10,25,12
1619049238.0171776,-11267,4425,9247,6032,1939,74,409,12,17,19
1619049238.0265415,-11273,4425,9245,6025,1940,69,426,27,14,31
1619049238.0360591,-11278,4422,9246,6015,1943,63,426,52,11,24
1619049238.0578253,-11284,4416,9248,6007,1936,86,427,61,11,22
1619049238.0724833,-11288,4410,9250,6000,1953,99,428,56,10,19
1619049238.0957456,-11292,4404,9251,5995,1947,116,428,43,17,20
1619049238.109674,-11297,4401,9248,5993,1950,113,450,16,28,31
1619049238.1345847,-11304,4401,9241,5990,1950,81,445,6,34,34
1619049238.1543367,-11311,4397,9238,5984,1942,84,427,37,40,32
1619049238.1698837,-11320,4392,9234,5977,1938,78,439,48,42,32
1619049238.2008326,-11329,4387,9227,5974,1944,111,452,24,57,39
1619049238.2178857,-11342,4375,9220,5969,1942,137,469,59,75,46
1619049238.2302306,-11351,4358,9225,5957,1946,79,402,125,46,2
1619049238.2527673,-11349,4341,9239,5952,1908,102,381,105,-4,-48
1619049238.2812362,-11336,4328,9261,5952,1895,144,384,67,-76,-68
1619049238.2913718,-11316,4323,9296,5940,1912,73,291,98,-130,-72
1619049238.3323116,-11282,4333,9328,5946,1869,170,348,-55,-216,-67
1619049238.3428564,-11241,4354,9360,5959,1913,197,418,-131,-285,-64
1619049238.3588223,-11193,4393,9382,5986,1982,127,368,-267,-261,-96
1619049238.3808663,-11152,4452,9365,6044,1972,182,517,-511,-157,-53
1619049238.4000802,-11127,4530,9324,6095,1998,11,524,-570,-74,20
1619049238.419963,-11131,4592,9271,6124,2069,-108,582,-411,45,74
1619049238.4400394,-11159,4607,9219,6138,2065,-63,584,-145,200,52
1619049238.4547348,-11198,4581,9177,6151,2007,60,614,35,266,6
1619049238.4778132,-11243,4532,9162,6127,1927,26,422,308,274,27
1619049238.4984663,-11281,4480,9147,6117,1918,83,422,257,283,-15
