1628231398.889908,-82,-83,-73,-27,22,86,44,-72
1628231398.8932564,41,56,20,3,-11,-56,-20,13
1628231398.8957982,-26,-41,-17,-11,6,35,11,-7
1628231398.8979008,-66,-69,-65,-22,21,69,44,-61
1628231398.9004035,61,72,36,12,-11,-70,-27,30
1628231398.9022696,51,48,46,18,-7,-40,-27,40
1628231398.9047644,-35,-39,-12,-5,4,31,12,-13
1628231398.9066966,40,55,26,10,-10,-47,-23,16
1628231398.9092436,52,53,55,26,-24,-58,-37,58
1628231398.911087,-62,-73,-44,-10,8,59,29,-29
1628231398.9154122,-21,-17,-30,-11,6,18,8,-26
1628231398.9174392,26,38,21,1,-8,-36,-13,12
1628231398.9201062,-24,-30,-6,-5,1,25,7,-8
1628231398.9221995,-41,-38,-39,-14,16,40,31,-37
1628231398.9349778,30,44,21,4,-10,-43,-12,16
1628231398.9368606,20,13,21,5,-4,-16,-4,20
1628231398.9422739,-33,-36,-28,-17,3,32,8,-17
1628231398.9443812,18,28,12,3,-6,-17,-6,4
1628231398.957328,32,35,28,13,-8,-33,-23,25
1628231398.9592354,-26,-31,-19,-9,2,27,8,-12
1628231398.9655404,-5,-1,-9,1,-2,1,0,-6
1628231398.967783,15,14,12,7,-1,-16,-11,5
1628231398.9733808,-3,-12,-6,0,-2,6,5,-6
1628231398.9763134,-11,-13,-8,-6,-3,11,10,-6
1628231398.9798071,16,13,9,2,-3,-18,-3,8
1628231398.9831955,-12,-17,-9,-7,2,11,6,-5
1628231398.9946685,-14,-13,-14,-5,8,12,0,-16
1628231398.9966729,12,11,7,7,-3,-15,-8,7
1628231399.0022423,6,9,1,1,1,-7,-8,4
1628231399.004099,-15,-17,-17,-10,5,15,4,-5
1628231399.0172145,19,26,13,5,-10,-20,-9,8
1628231399.0192673,9,10,13,10,-2,-9,-9,12
1628231399.025285,-9,-9,-3,2,2,8,9,-5
1628231399.0271566,-4,-8,0,-10,-6,5,3,0
1628231399.0322382,6,6,6,7,-4,-5,-4,5
1628231399.0341997,-14,-24,-15,-9,9,15,-3,-11
1628231399.039627,-9,-6,-11,-5,2,7,11,-8
1628231399.0417137,5,15,2,2,0,-9,-4,-2
1628231399.0547245,1,8,-3,-5,0,-11,-1,3
1628231399.0567179,-5,-1,-7,-7,1,4,2,-8
1628231399.0623908,18,22,11,7,-6,-16,-11,10
1628231399.0642788,6,10,2,3,-12,-4,-9,4
1628231399.0772252,-7,-11,-9,-7,-6,5,2,-5
1628231399.0792358,-13,-7,-15,-3,3,10,7,-9
1628231399.08528,1,0,1,-4,-1,-1,-5,0
1628231399.0873196,-20,-22,-17,-12,6,10,5,-17
1628231399.0920117,-3,3,-3,-3,-2,3,5,-6
1628231399.0939429,8,8,8,-3,-4,-10,-5,1
1628231399.0995631,13,7,14,0,-7,-10,-7,2
1628231399.101416,-1,-2,-4,-2,1,-3,-2,-1
1628231399.1162689,11,18,10,2,-13,-12,-5,8
1628231399.1194952,3,3,2,-1,-7,-6,-6,10
1628231399.122478,-12,-19,-8,-5,6,13,6,-5
1628231399.124512,-7,-6,-10,1,9,8,-2,-16
1628231399.1390421,1,-7,-1,-5,4,0,-1,-5
1628231399.1418946,-8,-9,-5,-6,-4,8,6,-6
1628231399.1458776,1,-3,-3,-4,-3,-2,5,-2
1628231399.1478653,6,4,2,0,0,-10,-1,8
1628231399.1519392,10,4,11,9,-1,-6,-4,3
1628231399.154031,5,5,-1,2,-3,-4,-3,-5
1628231399.1679165,12,11,5,0,-6,-16,-8,1
1628231399.1699085,-2,1,1,0,2,1,-1,-1
1628231399.1747148,-10,-13,-10,-6,7,15,2,-1
1628231399.1765852,-2,-1,-6,-2,-3,0,-1,-1
1628231399.1823366,-2,-3,-3,4,4,5,-1,-2
1628231399.1842015,-8,-5,-7,-5,-5,5,6,-1
1628231399.1974227,2,-4,-1,-3,-4,-6,2,1
1628231399.1995156,7,10,4,1,0,-9,-7,4
1628231399.2054818,1,-2,4,-5,-3,2,-1,4
1628231399.2077055,7,6,8,2,-9,-4,-1,0
1628231399.2131255,6,12,6,5,-3,-9,-7,8
1628231399.2151988,-3,-11,-4,-3,1,3,0,-6
1628231399.2278907,-11,-12,-12,0,6,9,8,-4
1628231399.2299542,4,8,-1,1,-10,-7,-1,-2
1628231399.2346888,-3,0,-1,1,3,8,3,-3
1628231399.236987,-9,-7,-5,0,1,5,7,-7
1628231399.24218,2,7,1,3,-3,0,-9,4
1628231399.244058,7,1,6,-2,1,-12,-6,4
1628231399.257356,-5,-8,-2,-3,7,4,1,-2
1628231399.2592678,3,4,3,2,-5,-7,-5,4
1628231399.2652586,6,5,6,1,-2,-12,-7,4
1628231399.267202,-10,-3,-6,0,10,3,0,-2
1628231399.2719905,0,-3,-5,1,-7,0,2,-10
1628231399.2743664,8,12,4,-3,-9,-8,-3,4
1628231399.2881134,-5,0,-8,-5,-3,0,-2,-1
1628231399.2901516,-9,-16,-11,-1,5,18,10,-13
1628231399.2946439,-12,-8,-6,-7,2,12,3,-5
1628231399.297106,3,2,6,2,-4,1,-4,3
1628231399.302155,-7,-8,-6,-4,2,6,1,-12
1628231399.3040307,-1,3,5,-3,-5,-6,-4,3
1628231399.317094,16,16,9,1,-1,-17,-8,10
1628231399.3193555,13,8,10,2,1,-12,-2,7
1628231399.3253527,0,2,2,-1,-3,-5,0,0
1628231399.3272457,7,6,8,7,-8,-4,-6,10
1628231399.3319373,-2,-6,-2,-2,-1,2,1,-2
1628231399.3339798,-31,-33,-17,-9,8,26,8,-17
1628231399.3482347,-12,-7,-21,-7,10,13,10,-20
1628231399.3502266,3,-2,1,-3,-3,-1,-2,-3
1628231399.3547332,-2,-4,-11,-3,2,-1,0,-9
1628231399.356622,3,-4,-4,0,-2,0,-6,4
1628231399.3704057,20,29,14,4,-8,-20,-5,15
1628231399.3723395,14,10,19,7,-16,-9,-6,18
1628231399.377081,2,2,4,-1,-3,-10,1,3
1628231399.3795948,11,4,8,1,-8,-7,-7,11
1628231399.3852985,2,-6,-5,-4,0,0,-1,-2
1628231399.3873534,-25,-28,-25,-9,7,26,5,-18
1628231399.391931,-8,-4,-17,-5,10,7,4,-20
1628231399.3938081,-9,-2,-8,-3,2,4,2,-4
1628231399.4084198,-8,-7,-6,-8,4,2,-1,-7
1628231399.4104695,2,2,-5,-1,0,-10,0,-2
1628231399.4147403,20,31,12,5,-7,-20,-9,16
1628231399.4165704,14,10,17,5,-8,-10,-4,19
1628231399.422938,-2,6,6,-1,-3,-1,2,-2
1628231399.4247668,7,2,8,-3,-4,-2,-7,3
1628231399.4371052,-1,-7,-2,-2,-4,3,4,-3
1628231399.439167,-24,-15,-17,-8,2,16,7,-10
1628231399.4454386,-4,-5,-11,-4,1,5,10,-14
1628231399.4475503,-5,-6,-3,-2,1,1,1,-2
1628231399.4524024,-5,-2,-5,-5,1,3,7,-7
1628231399.454572,4,3,3,-2,-1,-3,-2,-3
1628231399.467996,21,19,10,1,-11,-18,-10,6
1628231399.47013,6,7,8,3,-7,-2,-6,12
1628231399.4747865,3,3,7,0,-6,-3,-2,1
